constituency,ac_number,candidate,party,votes,turnout,reserved,region,margin
Vanur,73,CHAKRAPANI M,AIADMK,92219,79.79,SC,Central,21727
Villupuram,74,LAKSHMANAN R,DMK,102271,76.97,GEN,Central,14868
Vikravandi,75,PUGAZHENTHI N,DMK,93730,81.39,GEN,Central,9573
Tirukkoyilur,76,K.PONMUDY,DMK,110980,76.27,GEN,Central,59680
Ulundurpet,77,MANIKANNAN A J,DMK,115451,82.62,GEN,Central,5256
Rishivandiam,78,KARTHIKEYAN K,DMK,113912,80.18,GEN,Central,41728
Sankarapuram,79,UDHAYASURIYAN T,DMK,121186,79.58,GEN,Central,45963
Kallakurichi,80,Senthilkumar.M,AIADMK,110643,78.16,SC,Central,25891
Gangavalli,81,"NALLATHAMBI,A.",AIADMK,89568,77.11,SC,Central,7361
Attur,82,"JAYASANKARAN, A.P.",AIADMK,95308,77.26,SC,Central,8257
Yercaud,83,G. Chitra,AIADMK,121561,83.09,ST,Central,25955
Omalur,84,R.MANI,AIADMK,142488,83.28,GEN,Central,55294
Mettur,85,SADHASIVAM.S,PMK,97055,75.01,GEN,Central,656
Edapadi,86,EDAPPADI PALANISWAMI. K,AIADMK,163154,85.64,GEN,Central,93802
Sankari,87,"SUNDARARAJAN, S.",AIADMK,115472,83.71,GEN,Central,20045
Salem (West),88,ARUL. R,PMK,105483,71.81,GEN,Central,21499
Salem (North),89,R. RAJENDRAN,DMK,93432,72.14,GEN,Central,7588
Salem (South),90,E.BALASUBRAMANIAN,AIADMK,97506,76.0,GEN,Central,22609
Veerapandi,91,"RAJAMUTHU, M.",AIADMK,111682,85.64,GEN,Central,19895
Rasipuram,92,MATHIVENTHAN M,DMK,90727,82.05,SC,Central,1952
Sendamangalam,93,PONNUSAMY K,DMK,90681,80.93,ST,Central,10493
Namakkal,94,RAMALINGAM P,DMK,106494,78.57,GEN,Central,27861
Paramathi-Velur,95,SEKAR S,AIADMK,86034,81.14,GEN,Central,7662
Tiruchengode,96,ESWARAN E R,DMK,81688,78.71,GEN,Central,2862
Kumarapalayam,97,THANGAMANI.P,AIADMK,100800,78.85,GEN,Central,31646
