constituency,ac_number,candidate,party,votes,turnout,reserved,region,margin
Gummidipoondi,1,S.VIJAYAKUMAR,TVK,94320,,GEN,Chennai Metro,27945
Ponneri,2,DR.RAVI.M.S,TVK,110439,,SC,Chennai Metro,55768
Tiruttani,3,G.HARI,AIADMK,89169,,GEN,Chennai Metro,5793
Thiruvallur,4,DR. T. ARUNKUMAR,TVK,92190,,GEN,Chennai Metro,24760
Poonamallee,5,PRAKASAM.R,TVK,161309,,SC,Chennai Metro,72740
Avadi,6,R.RAMESH KUMAR,TVK,180384,,GEN,Chennai Metro,76311
Maduravoyal,7,RHEVANTH CHARAN,TVK,141725,,GEN,Chennai Metro,61509
Ambattur,8,BALAMURUGAN.G,TVK,133339,,GEN,Chennai Metro,58781
Madavaram,9,M.L.VIJAYPRABHU,TVK,190462,,GEN,Chennai Metro,94985
Thiruvottiyur,10,SENTHIL KUMAR. N,TVK,110067,,GEN,Chennai Metro,53564
Dr.Radhakrishnan Nagar,11,N. MARIE WILSON,TVK,97800,,GEN,Chennai Metro,49668
Perambur,12,C. JOSEPH VIJAY,TVK,120365,,GEN,Chennai Metro,53715
Kolathur,13,V. S. BABU,TVK,82997,,GEN,Chennai Metro,8795
Villivakkam,14,AADHAV ARJUNA,TVK,66445,,GEN,Chennai Metro,17302
Thiru-Vi-Ka-Nagar,15,M. R. PALLAVI,TVK,69125,,SC,Chennai Metro,22333
Egmore,16,RAJMOHAN,TVK,53901,,SC,Chennai Metro,10804
Royapuram,17,K.V. VIJAY DAMU,TVK,59091,,GEN,Chennai Metro,14249
Harbour,18,P K SEKARBABU,DMK,45254,,GEN,Chennai Metro,11750
Chepauk-Thiruvallikeni,19,UDHAYANIDHI STALIN,DMK,62992,,GEN,Chennai Metro,7140
Thousand Lights,20,PRABHAKAR.J.C.D,TVK,58965,,GEN,Chennai Metro,15141
Anna Nagar,21,V.K.RAMKUMAR,TVK,71375,,GEN,Chennai Metro,21363
Virugampakkam,22,SABARINATHAN.R,TVK,76092,,GEN,Chennai Metro,27086
Saidapet,23,ARUL PRAKASAM. M,TVK,81205,,GEN,Chennai Metro,28514
Thiyagarayanagar,24,ANAND N,TVK,51632,,GEN,Chennai Metro,13027
Mylapore,25,VENKATARAMANAN. P,TVK,70070,,GEN,Chennai Metro,28972
Velachery,26,KUMAR. R,TVK,80430,,GEN,Chennai Metro,33305
Shozhinganallur,27,ECR P SARAVANAN,TVK,220382,,GEN,Chennai Metro,96780
Alandur,28,M.HARISH,TVK,112205,,GEN,Chennai Metro,29609
Sriperumbudur,29,THENNARASU.K,TVK,147611,,SC,Chennai Metro,54246
Pallavaram,30,J.KAMATCHI,TVK,133611,,GEN,Chennai Metro,54693
Tambaram,31,D.SARATHKUMAR,TVK,118967,,GEN,Chennai Metro,35621
Chengalpattu,32,S. THIYAGARAJAN,TVK,137136,,GEN,Chennai Metro,35641
Thiruporur,33,B.VIJAYARAJ,TVK,110095,,GEN,North,39351
Cheyyur,34,RAJASEKAR. E,AIADMK,63809,,SC,North,5668
Madurantakam,35,MARAGATHAM KUMARAVEL.K,AIADMK,69284,,SC,North,7194
Uthiramerur,36,MUNIRATHINAM.J,TVK,84917,,GEN,North,14223
Kancheepuram,37,R.V. RANJITHKUMAR,TVK,91350,,GEN,North,15488
Arakkonam,38,V. GANDHIRAJ,TVK,73776,,SC,North,23121
Sholingur,39,G.KAPIL,TVK,84506,,GEN,North,5686
Katpadi,40,DR M SUDHAKAR,TVK,69868,,GEN,North,5870
Ranipet,41,THAHIRA,TVK,91149,,GEN,North,5787
Arcot,42,S.M.SUKUMAR,AIADMK,105608,,GEN,North,42720
Vellore,43,M.M.VINOTH KANNAN,TVK,73032,,GEN,North,6777
Anaikattu,44,D.VELAZHAGAN,AIADMK,76302,,GEN,North,7081
Kilvaithinankuppam,45,THENRAL KUMAR. E,TVK,74305,,SC,North,20255
Gudiyattam,46,K.SINDU,TVK,82858,,SC,North,10097
Vaniyambadi,47,SYED FAROOQ BASHA SSB,IUML,73181,,GEN,North,2982
Ambur,48,VILWANATHAN. A.C.,DMK,74102,,GEN,North,7131
Jolarpet,49,VEERAMANI K.C.,AIADMK,78633,,GEN,North,16083
Tiruppattur,50,DR.THIRUPATHI. N,TVK,105098,,GEN,North,48263
Uthangarai,51,N ELAIYARAJA,TVK,70201,,SC,North,5198
Bargur,52,E.C. GOVINDARASAN,AIADMK,71240,,GEN,North,4241
Krishnagiri,53,MUKUNDHAN.P,TVK,89374,,GEN,North,18844
Veppanahalli,54,SRINIVASAN.P.S,DMK,74691,,GEN,North,138
Hosur,55,BALAKRISHNAREDDY. P,AIADMK,109867,,GEN,North,27803
Thalli,56,RAMACHANDRAN. T,CPI,78283,,GEN,North,5240
Palacodu,57,ANBALAGAN. K.P.,AIADMK,102807,,GEN,North,39042
Pennagaram,58,GAJENDRAN. S.,TVK,81240,,GEN,North,3165
Dharmapuri,59,SOWMIYA ANBUMANI,PMK,93713,,GEN,North,20896
Pappireddipatti,60,MARAGATHAM VETRIVEL,AIADMK,101829,,GEN,North,33114
Harur,61,SAMPATHKUMAR. V,AIADMK,75523,,SC,North,3329
Chengam,62,S.VELU,AIADMK,87802,,SC,North,13278
Tiruvannamalai,63,VELU. E.V,DMK,88273,,GEN,North,2455
Kilpennathur,64,RAMACHANDRAN.S,AIADMK,90503,,GEN,North,30465
Kalasapakkam,65,AGRI KRISHNAMURTHY. S S,AIADMK,89629,,GEN,North,26740
Polur,66,ABISHEK. R,TVK,67961,,GEN,North,227
Arani,67,JAYASUDHA. L,AIADMK,76735,,GEN,North,5631
Cheyyar,68,MUKKUR N. SUBRAMANIAN,AIADMK,86680,,GEN,North,21081
Vandavasi,69,AMBETHKUMAR. S,DMK,63805,,SC,North,3333
Gingee,70,GANESHKUMAR A,PMK,78201,,GEN,Central,12645
Mailam,71,SHANMUGAM C VE,AIADMK,82353,,GEN,Central,30041
Tindivanam,72,VANNI ARASU,VCK,63833,,SC,Central,734
Vanur,73,GOWTHAM D,DMK,68873,,SC,Central,7034
Viluppuram,74,LAKSHMANAN R,DMK,72982,,GEN,Central,4119
Vikravandi,75,SIVAKUMAR C,PMK,69727,,GEN,Central,910
Tirukkoyilur,76,PALANISAMY S,AIADMK,73033,,GEN,Central,285
Ulundurpettai,77,VASANTHAVEL G R,DMK,98471,,GEN,Central,2277
Rishivandiyam,78,KARTHIKEYAN K,DMK,89711,,GEN,Central,4862
Sankarapuram,79,RAKESH R,AIADMK,80250,,GEN,Central,3440
Kallakurichi,80,ARUL VIGNESH C,TVK,81132,,SC,Central,798
Gangavalli,81,NALLATHAMBI. A,AIADMK,73167,,SC,Central,14404
Attur,82,JAYASANKARAN. A.P.,AIADMK,80843,,SC,Central,15318
Yercaud,83,USHARANI. P,AIADMK,87772,,ST,Central,2189
Omalur,84,MANI. R,AIADMK,112246,,GEN,Central,14539
Mettur,85,VENKATACHALAM. G,AIADMK,86498,,GEN,Central,19105
Edappadi,86,EDAPPADI PALANISWAMI. K,AIADMK,148933,,GEN,Central,98110
Sankari,87,VETRIVEL. S,AIADMK,87342,,GEN,Central,9517
Salem (West),88,LAKSHMANAN.S,TVK,120407,,GEN,Central,74867
Salem (North),89,SIVAKUMAR. K,TVK,85710,,GEN,Central,14034
Salem (South),90,VIJAY TAMILAN PARTHIBAN. A,TVK,91371,,GEN,Central,33369
Veerapandi,91,PALANIVEL. M.S,TVK,79907,,GEN,Central,4071
Rasipuram,92,LOGESH TAMILSELVAN D,TVK,74808,,SC,Central,14511
Senthamangalam,93,P CHANDRASEKAR,TVK,68815,,ST,Central,2655
Namakkal,94,DILIP C S,TVK,79744,,GEN,Central,11008
Paramathi-Velur,95,SEKAR S,AIADMK,61349,,GEN,Central,308
Tiruchengodu,96,ARUNRAJ K G,TVK,79500,,GEN,Central,28172
Kumarapalayam,97,C.VIJAYALAKSHMI,TVK,81179,,GEN,Central,7696
Erode (East),98,M.VIJAY BALAJI,TVK,69747,,GEN,Kongu,23966
Erode (West),99,ANANTH MOGHAN K.K.,TVK,96836,,GEN,Kongu,22250
Modakkurichi,100,D.SHANMUGAN,TVK,60715,,GEN,Kongu,2430
Dharapuram,101,SATHYABAMA.P,AIADMK,81100,,SC,Kongu,16727
Kangayam,102,NSN NATARAJ,AIADMK,71122,,GEN,Kongu,8133
Perundurai,103,JAYAKUMAR. S,AIADMK,70302,,GEN,Kongu,9693
Bhavani,104,KARUPPANAN. K.C,AIADMK,75577,,GEN,Kongu,7396
Anthiyur,105,HARIBASKAR.P,AIADMK,60042,,GEN,Kongu,1260
Gobichettipalayam,106,SENGOTTAIYAN.K.A,TVK,82612,,GEN,Kongu,16620
Bhavanisagar,107,V.P.TAMILSELVI,TVK,72391,,SC,Kongu,4569
Udhagamandalam,108,BHOJARAJAN.M,BJP,48488,,GEN,Kongu,976
Gudalur,109,DHRAVIDAMANI.M,DMK,65590,,SC,Kongu,22833
Coonoor,110,M. RAJU,DMK,50470,,GEN,Kongu,8099
Mettuppalayam,111,SUNILANAND,TVK,75664,,GEN,Kongu,7768
Avanashi,112,KAMALI.S,TVK,84209,,SC,Kongu,15373
Tiruppur (North),113,V.SATHYABAMA,TVK,131401,,GEN,Kongu,69992
Tiruppur (South),114,BALAMURUGAN. S,TVK,73793,,GEN,Kongu,12901
Palladam,115,K.RAMKUMAR,TVK,121297,,GEN,Kongu,37897
Sulur,116,NM.SUKUMAR,TVK,90531,,GEN,Kongu,4790
Kavundampalayam,117,KANIMOZHI SANTHOSH,TVK,146466,,GEN,Kongu,42140
Coimbatore (North),118,V. SAMPATHKUMAR,TVK,92500,,GEN,Kongu,21992
Thondamuthur,119,S.P.VELUMANI,AIADMK,93316,,GEN,Kongu,14725
Coimbatore (South),120,V SENTHILBALAJI,DMK,59724,,GEN,Kongu,2271
Singanallur,121,K.S.SRI GIRI PRASATH,TVK,84163,,GEN,Kongu,19139
Kinathukadavu,122,VIGNESH K,TVK,99950,,GEN,Kongu,11710
Pollachi,123,K. NITHYANANDHAN,DMK,62013,,GEN,Kongu,4627
Valparai,124,KUTTY (ALIAS) SUDHAKAR. A,DMK,54671,,SC,Kongu,9371
Udumalaipettai,125,JAYAKUMAR M.,DMK,68549,,GEN,Kongu,2882
Madathukulam,126,R JAYARAMAKRISHNAN,DMK,70458,,GEN,Kongu,15968
Palani,127,RAVIMANOHARAN. K,AIADMK,66986,,GEN,South,693
Oddanchatram,128,SAKKARAPANI. R,DMK,93099,,GEN,South,43249
Athoor,129,I. PERIASAMY,DMK,106240,,GEN,South,22368
Nilakkottai,130,AYYANAR.R,TVK,68580,,SC,South,2925
Natham,131,NATHAM VISWANATHAN R,AIADMK,85708,,GEN,South,11869
Dindigul,132,SENTHILKUMAR. I.P,DMK,74489,,GEN,South,1131
Vedasandur,133,SAMINATHAN. T,DMK,84948,,GEN,South,10063
Aravakurichi,134,ELANGO. R,DMK,70827,,GEN,Kongu,19382
Karur,135,M.R. VIJAYABHASKAR,AIADMK,71542,,GEN,Kongu,1821
Krishnarayapuram,136,SATHYA. M,TVK,62378,,SC,Kongu,3503
Kulithalai,137,SURIYANUR. A. CHANDRAN,DMK,68138,,GEN,Kongu,579
Manapparai,138,R. KATHIRAVAN,TVK,83041,,GEN,Delta,1426
Srirangam,139,RAMESH,TVK,103235,,GEN,Delta,33590
Tiruchirappalli (West),140,K.N.NEHRU,DMK,88235,,GEN,Delta,4786
Tiruchirappalli (East),141,C. JOSEPH VIJAY,TVK,91381,,GEN,Delta,27416
Thiruverumbur,142,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,89837,,GEN,Delta,8705
Lalgudi,143,LEEMAROSE MARTIN,AIADMK,60795,,GEN,Delta,2739
Manachanallur,144,KATHIRAVAN. S,DMK,81447,,GEN,Delta,12364
Musiri,145,M.VIGNESH,TVK,71281,,GEN,Delta,17442
Thuraiyur,146,RAVISANKAR.M,TVK,66263,,SC,Delta,9614
Perambalur,147,SIVAKUMAR. K,TVK,90882,,SC,Central,14393
Kunnam,148,SIVASANKAR. S.S,DMK,87237,,GEN,Central,15557
Ariyalur,149,RAJENDRAN S,AIADMK,95219,,GEN,Central,24498
Jayankondam,150,VAITHILINGAM G.,PMK,88992,,GEN,Central,18490
Tittakudi,151,GANESAN C.V,DMK,63106,,SC,Central,2629
Vriddhachalam,152,PREMALLATHA VIJAYAKANT,DMDK,69351,,GEN,Central,2387
Neyveli,153,RAJENDRAN.R,AIADMK,63731,,GEN,Central,10962
Panruti,154,MOHAN. K,AIADMK,78398,,GEN,Central,10663
Cuddalore,155,B.RAJKUMAR,TVK,70856,,GEN,Central,15519
Kurinjipadi,156,M.R.K.PANNEERSELVAM,DMK,76695,,GEN,Central,7589
Bhuvanagiri,157,ARUNMOZHITHEVAN . A,AIADMK,75707,,GEN,Central,2487
Chidambaram,158,THAMIMUN ANSARI. M,DMK,69739,,GEN,Central,5747
Kattumannarkoil,159,L.E. JOTHIMANI,VCK,85179,,SC,Central,33063
Sirkazhi,160,SENTHILSELVAN.R,DMK,71449,,SC,Delta,11417
Mayiladuthurai,161,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,,GEN,Delta,10845
Poompuhar,162,NIVEDHA M MURUGAN,DMK,81096,,GEN,Delta,8260
Nagapattinam,163,M.H.JAWAHIRULLAH,DMK,56305,,GEN,Delta,9781
Kilvelur,164,LATHA. T,CPI(M),56108,,SC,Delta,2278
Vedaranyam,165,MANIAN. O.S,AIADMK,59172,,GEN,Delta,7331
Thiruthuraipoondi,166,MARIMUTHU.K,CPI,74062,,SC,Delta,12922
Mannargudi,167,KAMARAJ. S,AMMK,68416,,GEN,Delta,1566
Thiruvarur,168,KALAIVANAN POONDI  K,DMK,93408,,GEN,Delta,18148
Nannilam,169,KAMARAJ. R,AIADMK,103462,,GEN,Delta,41724
Thiruvidaimarudur,170,GOVI.CHEZHIAAN,DMK,79951,,SC,Delta,14116
Kumbakonam,171,VINOTH,TVK,78650,,GEN,Delta,679
Papanasam,172,A.M. SHAHJAHAN,IUML,69284,,GEN,Delta,1065
Thiruvaiyaru,173,DURAI. CHANDRASEKARAN,DMK,80425,,GEN,Delta,8555
Thanjavur,174,R. VIJAYSARAVANAN,TVK,87705,,GEN,Delta,16955
Orathanadu,175,R. VAITHILINGAM,DMK,86759,,GEN,Delta,35028
Pattukkottai,176,ANNADURAI K,DMK,65963,,GEN,Delta,13754
Peravurani,177,ASHOKKUMAR. N,DMK,60919,,GEN,Delta,3162
Gandharvakottai,178,N. SUBRAMANIAN,TVK,58795,,SC,Delta,11039
Viralimalai,179,VIJAYABASKAR. C,AIADMK,105773,,GEN,Delta,62073
Pudukkottai,180,V. MUTHURAJA,DMK,66825,,GEN,Delta,1867
Thirumayam,181,REGUPATHY.S,DMK,58201,,GEN,Delta,1492
Alangudi,182,SIVA.V.MEYYANATHAN,DMK,64929,,GEN,Delta,12977
