constituency,ac_number,candidate,party,votes,turnout,reserved,region,margin
Aranthangi,183,MOHAMED FARVAS. J,TVK,73244,,GEN,Delta,10062
Karaikudi,184,DR.PRABHU. TK,TVK,101358,,GEN,South,46074
Tiruppattur,185,SEENIVASA SETHUPATHY. R,TVK,83375,,GEN,South,1
Sivaganga,186,KULANTHAI RANI A,TVK,73737,,GEN,South,15081
Manamadurai,187,ELANGOVAN.D,TVK,69971,,SC,South,1208
Melur,188,P.VISWANATHAN,INC,60080,,GEN,South,2724
Madurai East,189,KARTHIKEYAN S,TVK,118777,,GEN,South,16547
Sholavandan,190,KARUPPAIAH.M.V,TVK,63907,,SC,South,2678
Madurai North,191,A.KALLANAI,TVK,72853,,GEN,South,18038
Madurai South,192,M.M.GOPISON,TVK,62415,,GEN,South,21529
Madurai Central,193,MADHAR BADHURUDEEN,TVK,63414,,GEN,South,19128
Madurai West,194,THANGAPANDI SR,TVK,88250,,GEN,South,11931
Thiruparankundram,195,NIRMALKUMAR. R.,TVK,114316,,GEN,South,41553
Thirumangalam,196,MANIMARAN.M,DMK,88291,,GEN,South,23807
Usilampatti,197,VIJAY. M,TVK,65743,,GEN,South,1805
Andipatti,198,MAHARAJAN.A,DMK,74324,,GEN,South,9554
Periyakulam,199,SABARI IYNGARAN G.,TVK,85656,,SC,South,19321
Bodinayakanur,200,PANNEERSELVAM.O,DMK,85206,,GEN,South,6805
Cumbum,201,JEGANATHMISHRA PLA,TVK,85394,,GEN,South,751
Rajapalayam,202,JEGADESHWARI. K,TVK,65548,,GEN,South,10605
Srivilliputhur,203,KARTHIK.A,TVK,65653,,SC,South,8581
Sattur,204,KADARKARAIRAJ. A,DMK,62060,,GEN,South,5989
Sivakasi,205,KEERTHANA S,TVK,68709,,GEN,South,11670
Virudhunagar,206,SELVAM P,TVK,63653,,GEN,South,9391
Aruppukkottai,207,RAMACHANDRAN. K.K.S.S.R,DMK,65104,,GEN,South,4943
Tiruchuli,208,THANGAM THENARASU,DMK,75085,,GEN,South,13485
Paramakudi,209,ADVOCATE. KATHIRAVAN. K.K,DMK,59161,,SC,South,3548
Tiruvadanai,210,RAJEEV,TVK,69551,,GEN,South,2513
Ramanathapuram,211,KATHARBATCHA MUTHURAMALINGAM,DMK,89137,,GEN,South,12459
Mudhukulathur,212,R.S.RAJAKANNAPPAN,DMK,68003,,GEN,South,16598
Vilathikulam,213,MARKANDAYAN G V,DMK,58395,,GEN,South,8228
Thoothukkudi,214,SRINATH,TVK,100536,,GEN,South,37731
Tiruchendur,215,ANITHA R. RADHAKRISHNAN,DMK,72723,,GEN,South,5872
Srivaikuntam,216,SARAVANAN. G,TVK,58814,,GEN,South,1186
Ottapidaram,217,P .MATHANRAJA,TVK,81625,,SC,South,29083
Kovilpatti,218,KARUNANITHI.K,DMK,61643,,GEN,South,843
Sankarankovil,219,DR. DHILIPAN JAISHANKAR,AIADMK,64865,,SC,South,6489
Vasudevanallur,220,E. RAJA,DMK,63045,,SC,South,6583
Kadayanallur,221,RAJENDRAN. T. M,DMK,79832,,GEN,South,6253
Tenkasi,222,DR.KALAI KATHIRAVAN,DMK,79699,,GEN,South,10299
Alangulam,223,PAUL MANOJ PANDIAN,DMK,69170,,GEN,South,7798
Tirunelveli,224,MURUGHAN.R.S.,TVK,75840,,GEN,South,11414
Ambasamudram,225,DR.ESAKKI SUBAYA,AIADMK,65589,,GEN,South,10245
Palayamkottai,226,M.ABDUL WAHAB,DMK,79744,,GEN,South,13805
Nanguneri,227,REDDIARPATTI V. NARAYANAN,TVK,74952,,GEN,South,16419
Radhapuram,228,DR.SATHISH CHRISTOPHER,TVK,69947,,GEN,South,12313
Kanniyakumari,229,THALAVAI SUNDARAM. N,AIADMK,75045,,GEN,South,214
Nagercoil,230,AUSTIN,DMK,69880,,GEN,South,7570
Colachal,231,THARAHAI CUTHBERT,INC,66207,,GEN,South,2833
Padmanabhapuram,232,CHELLASWAMY. R,CPI(M),68938,,GEN,South,15569
Vilavancode,233,PRAVEEN T.T,INC,70755,,GEN,South,20970
Killiyoor,234,RAJESH KUMAR. S,INC,66434,,GEN,South,1311
